datetime,Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,dayofweek,CO(GT)_lag_1,CO(GT)_lag_3,CO(GT)_lag_6,CO(GT)_lag_12,CO(GT)_lag_24,CO_roll_std,CO_roll_max,datetime,month,hour_sin,hour_cos,CO(GT)_rollmean_3,CO(GT)_rollstd_3,CO(GT)_rollmean_24,CO(GT)_rollstd_24
2004-03-10 18:00:00,10/03/2004,18.00.00,2.6,1360.0,11.9,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,18,2,,,,,,,,2004-03-10 18:00:00,3,-1.0,-1.8369701987210297e-16,2.6,0.0,2.6,0.0
2004-03-10 19:00:00,10/03/2004,19.00.00,2.0,1292.0,9.4,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,19,2,2.6,,,,,,,2004-03-10 19:00:00,3,-0.9659258262890684,0.2588190451025203,2.3,0.4242640687119284,2.3,0.4242640687119284
2004-03-10 20:00:00,10/03/2004,20.00.00,2.2,1402.0,9.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,20,2,2.0,,,,,,,2004-03-10 20:00:00,3,-0.8660254037844386,0.5000000000000001,2.266666666666667,0.3055050463303892,2.266666666666667,0.3055050463303892
2004-03-10 21:00:00,10/03/2004,21.00.00,2.2,1376.0,9.2,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,21,2,2.2,2.6,,,,,,2004-03-10 21:00:00,3,-0.7071067811865477,0.7071067811865474,2.1333333333333333,0.11547005383792451,2.25,0.2516611478423582
2004-03-10 22:00:00,10/03/2004,22.00.00,1.6,1272.0,6.5,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,22,2,2.2,2.0,,,,,,2004-03-10 22:00:00,3,-0.5000000000000004,0.8660254037844384,2.0000000000000004,0.34641016151377524,2.12,0.3633180424916989
2004-03-10 23:00:00,10/03/2004,23.00.00,1.2,1197.0,4.7,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,23,2,1.6,2.2,,,,,,2004-03-10 23:00:00,3,-0.25881904510252157,0.9659258262890681,1.6666666666666667,0.5033222956847164,1.9666666666666668,0.496655480858378
2004-03-11 00:00:00,11/03/2004,00.00.00,1.2,1185.0,3.6,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0,3,1.2,2.2,2.6,,,,,2004-03-11 00:00:00,3,0.0,1.0,1.3333333333333333,0.23094010767584908,1.8571428571428572,0.5380741673076395
2004-03-11 01:00:00,11/03/2004,01.00.00,1.0,1136.0,3.3,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1,3,1.2,1.6,2.0,,,,,2004-03-11 01:00:00,3,0.25881904510252074,0.9659258262890683,1.1333333333333333,0.11547005383792179,1.75,0.5830951894845301
2004-03-11 02:00:00,11/03/2004,02.00.00,0.9,1094.0,2.3,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2,3,1.0,1.2,2.2,,,,,2004-03-11 02:00:00,3,0.49999999999999994,0.8660254037844387,1.0333333333333334,0.15275252316519192,1.6555555555555557,0.6146362971528592
2004-03-11 03:00:00,11/03/2004,03.00.00,0.6,1010.0,1.7,,1705.0,,1235.0,501.0,10.3,60.2,0.7517,3,3,0.9,1.2,2.2,,,,,2004-03-11 03:00:00,3,0.7071067811865475,0.7071067811865476,0.8333333333333334,0.20816659994661116,1.55,0.6687467549246293
