,datetime,Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,dayofweek,month,hour_sin,hour_cos
0,2004-03-10 18:00:00,10/03/2004,18.00.00,2.6,1360.0,11.9,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,18,2,3,-1.0,-1.8369701987210294e-16
1,2004-03-10 19:00:00,10/03/2004,19.00.00,2.0,1292.0,9.4,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,19,2,3,-0.9659258262890684,0.2588190451025203
2,2004-03-10 20:00:00,10/03/2004,20.00.00,2.2,1402.0,9.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,20,2,3,-0.8660254037844386,0.5000000000000001
3,2004-03-10 21:00:00,10/03/2004,21.00.00,2.2,1376.0,9.2,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,21,2,3,-0.7071067811865477,0.7071067811865474
4,2004-03-10 22:00:00,10/03/2004,22.00.00,1.6,1272.0,6.5,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,22,2,3,-0.5000000000000004,0.8660254037844384
5,2004-03-10 23:00:00,10/03/2004,23.00.00,1.2,1197.0,4.7,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,23,2,3,-0.2588190451025215,0.965925826289068
6,2004-03-11 00:00:00,11/03/2004,00.00.00,1.2,1185.0,3.6,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0,3,3,0.0,1.0
7,2004-03-11 01:00:00,11/03/2004,01.00.00,1.0,1136.0,3.3,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1,3,3,0.2588190451025207,0.9659258262890684
8,2004-03-11 02:00:00,11/03/2004,02.00.00,0.9,1094.0,2.3,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2,3,3,0.4999999999999999,0.8660254037844387
9,2004-03-11 03:00:00,11/03/2004,03.00.00,0.6,1010.0,1.7,,1705.0,,1235.0,501.0,10.3,60.2,0.7517,3,3,3,0.7071067811865475,0.7071067811865476
10,2004-03-11 04:00:00,11/03/2004,04.00.00,,1011.0,1.3,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,4,3,3,0.8660254037844386,0.5000000000000001
11,2004-03-11 05:00:00,11/03/2004,05.00.00,0.7,1066.0,1.1,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,5,3,3,0.9659258262890684,0.2588190451025207
12,2004-03-11 06:00:00,11/03/2004,06.00.00,0.7,1052.0,1.6,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,6,3,3,1.0,6.123233995736766e-17
13,2004-03-11 07:00:00,11/03/2004,07.00.00,1.1,1144.0,3.2,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,7,3,3,0.9659258262890684,-0.2588190451025206
14,2004-03-11 08:00:00,11/03/2004,08.00.00,2.0,1333.0,8.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,8,3,3,0.8660254037844387,-0.4999999999999998
15,2004-03-11 09:00:00,11/03/2004,09.00.00,2.2,1351.0,9.5,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,9,3,3,0.7071067811865476,-0.7071067811865475
16,2004-03-11 10:00:00,11/03/2004,10.00.00,1.7,1233.0,6.3,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,10,3,3,0.4999999999999999,-0.8660254037844387
17,2004-03-11 11:00:00,11/03/2004,11.00.00,1.5,1179.0,5.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,11,3,3,0.258819045102521,-0.9659258262890682
18,2004-03-11 12:00:00,11/03/2004,12.00.00,1.6,1236.0,5.2,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,12,3,3,1.2246467991473532e-16,-1.0
19,2004-03-11 13:00:00,11/03/2004,13.00.00,1.9,1286.0,7.3,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13,3,3,-0.2588190451025208,-0.9659258262890684
20,2004-03-11 14:00:00,11/03/2004,14.00.00,2.9,1371.0,11.5,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14,3,3,-0.4999999999999998,-0.8660254037844388
21,2004-03-11 15:00:00,11/03/2004,15.00.00,2.2,1310.0,8.8,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15,3,3,-0.7071067811865471,-0.7071067811865479
22,2004-03-11 16:00:00,11/03/2004,16.00.00,2.2,1292.0,8.3,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,16,3,3,-0.8660254037844384,-0.5000000000000004
23,2004-03-11 17:00:00,11/03/2004,17.00.00,2.9,1383.0,11.2,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,17,3,3,-0.9659258262890684,-0.2588190451025206
24,2004-03-11 18:00:00,11/03/2004,18.00.00,4.8,1581.0,20.8,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,18,3,3,-1.0,-1.8369701987210294e-16
